active,appear_on_invoice,code,description,icon_colour,icon_shape,icon_text,is_filled,is_missing,keyboard_shortcut,nhs_treatment_cat,nomenclature,notes,patient_nomenclature,patient_description,region,reset_tooth,treatment_category_name,uda_band,base_chart,duration
TRUE,TRUE,100,"An evaluation performed on a patient of record to determine any changes in the patient's dental and medical health status since a previous comprehensive or periodic evaluation.  This includes an oral cancer evaluation and periodontal screening where indicated, and may require interpretation of information acquired through additional diagnostic procedures.  Report additional diagnostic procedures separately.",,,,FALSE,FALSE,,9317,Exam,,Examination,,patient,FALSE,Diagnostic Related Services,1,FALSE,0
TRUE,TRUE,101,,,,,FALSE,FALSE,,9317,Exam & Scale & Polish ,,Examination and Scale and Polish with the Dentist,,patient,FALSE,Diagnostic Related Services,1,FALSE,0
TRUE,TRUE,102,"Used by a general dentist and/or a specialist when evaluating a patient comprehensively.  This applies to new patients; established patients who have had a significant change in health conditions or other unusual circumstances, by report, or established patients who have been absent from active treatment for three or more years.  It is a thorough evaluation and recording of the extraoral and intraoral hard and soft tissues.  It may require interpretation of information acquired through additional diagnostic procedures.  Additional diagnostic procedures should be reported separately.  This includes an evaluation for oral cancer where indicated, the evaluation and recording of the patient's dental and medical history and a general health assessment. It may include the evaluation and recording of dental caries, missing or unerupted teeth, restorations, existing prostheses, occlusal relationships, periodontal conditions (including periodontal screening and/or charting), hard and soft tissue anomalies, etc.",,,,FALSE,FALSE,,9317,New Patient Exam,,New Patient Examination,,patient,FALSE,Diagnostic Related Services,1,FALSE,0
TRUE,TRUE,103,,,,,FALSE,FALSE,,,Review,,Review Appointment,,patient,FALSE,Diagnostic Related Services,0,FALSE,0
TRUE,TRUE,104,"An evaluation limited to a specific oral health problem or complaint.  This may require interpretation of information acquired through additional diagnostic procedures.  Report additional diagnostic procedures separately.  Definitive procedures may be required on the same date as the evaluation.  Typically, patients receiving this type of evaluation present with a specific problem and/or dental emergencies, trauma, acute infections, etc.",,,,FALSE,FALSE,,9399,Assessment & Advice,,Emergency Assessment and Advice,,patient,FALSE,Diagnostic Related Services,4,FALSE,0
TRUE,TRUE,105,X-ray(s) to show crowns and bone levels of upper and lower posterior teeth,,,,FALSE,FALSE,,9304,Small Radiograph,,Small Radiograph,,patient,FALSE,Diagnostic Related Services,1,FALSE,0
TRUE,TRUE,106,Occlusal radiograph,,,,FALSE,FALSE,,9304,Intraoral Photographs,,Intraoral Photographs,,patient,FALSE,Diagnostic Related Services,1,FALSE,0
TRUE,TRUE,107,Large Panoral radiograph to show entire dentition and tooth supporting areas,,,,FALSE,FALSE,,9304,Panoral Radiograph,,Panoral X-ray,,patient,FALSE,Diagnostic Related Services,1,FALSE,0
TRUE,TRUE,108,Lateral radiographic image to show position and angle of teeth in relation to the skull,,,,FALSE,FALSE,,9304,Cephalometric Radiographic Image,,Lateral Ceph X-Ray,,patient,FALSE,Diagnostic Related Services,1,FALSE,0
TRUE,TRUE,109,,,,,FALSE,FALSE,,9399,Clinical Photographs,,Clinical Photographs,,patient,FALSE,Diagnostic Related Services,1,FALSE,0
TRUE,TRUE,110,,,,,FALSE,FALSE,,9304,Periapical X Ray,,Periapical X Ray,,patient,FALSE,Diagnostic Related Services,1,FALSE,0
TRUE,TRUE,111,,,,,FALSE,FALSE,,9399,Acute Mucosal Infection,,Urgent/Emergency Assessment,,patient,FALSE,Diagnostic Related Services,4,FALSE,0
TRUE,TRUE,112,Chemical or biological analysis of saliva sample for diagnostic purposes.,,,,FALSE,FALSE,,9399,Analysis Of Saliva Sample,,Saliva Testing,,patient,FALSE,Diagnostic Related Services,1,FALSE,0
TRUE,TRUE,113,,,,,FALSE,FALSE,,9319,Band 1 Referral for Advanced Mandatory Treatment,,NHS Referral,,patient,FALSE,Diagnostic Related Services,1,FALSE,0
TRUE,TRUE,114,,,,,FALSE,FALSE,,9319,Band 2 Referral for Advanced Mandatory Treatment,,NHS Referral,,patient,FALSE,Diagnostic Related Services,2,FALSE,0
TRUE,TRUE,115,,,,,FALSE,FALSE,,9319,Band 3 Referral for Advanced Mandatory Treatment,,NHS Referral,,patient,FALSE,Diagnostic Related Services,3,FALSE,0
TRUE,TRUE,116,,,,,FALSE,FALSE,,,Diagnostic Wax Up,,Diagnostic Wax Up,,tooth,FALSE,Diagnostic Related Services,0,FALSE,0
TRUE,TRUE,117,,,,,FALSE,FALSE,,9399,Dry Socket,,Dry Socket,,patient,FALSE,Diagnostic Related Services,1,FALSE,0
TRUE,TRUE,118,Also known as diagnostic models or study models.,,,,FALSE,FALSE,,9399,Study Models,,Study Models,,patient,FALSE,Diagnostic Related Services,1,FALSE,0
TRUE,TRUE,119,,,,,FALSE,FALSE,,9399,Treatment of Infected Sockets,,Treatment of Infected Sockets,,patient,FALSE,Diagnostic Related Services,1,FALSE,0
TRUE,TRUE,120,,,,,FALSE,FALSE,,9399,Incising an Abscess,,Incising an Abscess,,patient,FALSE,Diagnostic Related Services,4,FALSE,0
TRUE,TRUE,200,"Removal of plaque, calculus and stains from the tooth structures in the permanent and transitional dentition.  It is intended to control local irritational factors. ",,,,FALSE,FALSE,,9301,Scale & Polish,,Scale & Polish,,patient,FALSE,Periodontic Related Services,1,FALSE,0
TRUE,TRUE,201,"This procedure involves instrumentation of the crown and root surfaces of the teeth to remove plaque and calculus from these surfaces. It is indicated for patients with periodontal disease and is therapeutic, not prophylactic, in nature. Root planing is the definitive procedure designed for the removal of cementum and dentin that is rough, and/or permeated by calculus or contaminated with toxins or microorganisms. Some soft tissue removal occurs. This procedure may be used as a definitive treatment in some stages of periodontal disease and/or as a part of pre-surgical procedures in others.",,,,FALSE,FALSE,,9399,Periodontal Scaling And Root Planing,,Periodontal Scaling,,item,FALSE,Periodontic Related Services,2,FALSE,0
TRUE,TRUE,202,"For the intentional removal, inspection and treatment of the root and replacement of a tooth into its own socket. This does not include necessary retrograde filling material placement.",,,,FALSE,FALSE,,9399,Hygiene 20,,20 Minute Hygienist Visit,,patient,FALSE,Periodontic Related Services,,FALSE,0
TRUE,TRUE,203,,,,,FALSE,FALSE,,9399,Hygiene 30,,30 Minute Hygienist Visit,,patient,FALSE,Periodontic Related Services,,FALSE,0
TRUE,TRUE,204,,,,,FALSE,FALSE,,,Hygiene 45,,45 Minute Hygienist Visit,,patient,FALSE,Periodontic Related Services,,FALSE,0
TRUE,TRUE,205,,,,,FALSE,FALSE,,9399,Hygiene 60,,60 Minute Hygienist Visit,,patient,FALSE,Periodontic Related Services,,FALSE,0
TRUE,TRUE,206,The gross removal of plaque and calculus that interfere with the ability of the dentist to perform a comprehensive oral evaluation.  This preliminary procedure does not preclude the need for additional procedures.,,,,TRUE,TRUE,,9399,Full Mouth Debridement,,Full Mouth Debridement,,item,FALSE,Periodontic Related Services,2,FALSE,0
TRUE,TRUE,207,,,,,FALSE,FALSE,,9399,Tooth Dressing,,Dressing,,toothCoordinate,FALSE,Periodontic Related Services,4,FALSE,0
TRUE,TRUE,208,,,,,FALSE,FALSE,,9399,Crown Lengthening,,Crown Lengthening,,toothCoordinate,FALSE,Periodontic Related Services,2,FALSE,0
TRUE,TRUE,209,,,,,FALSE,FALSE,,,Airflow,,Airflow,,patient,FALSE,Periodontic Related Services,,FALSE,0
