nomenclature,code
implanted tooth,801
[1601] porcelain veneers,438
pulpectomy,506
601,9999
rung pt,9999
nti appliance,9999
crown core,9986
gum shields,1107
bupa insurance composite filling,401
adjust,9999
invisilign attachments,1016
[4001] any other  treatment,9999
internal referral,9999
[200] inclusive x-rays,105
close up gap,9983
"conversion warnings:
teeth: ul3
[1861] recement bridge",9999
gap closed >,9983
root planing left side,9986
denture addition,712
removed crown/ veneer/bridge,9986
gold crown - sound,419
reline denture,716
[1706] crown jacket - gold,419
p veneer,438
implanted tooth,801
[1742] temporary crown,421
impacted other than 8s,610
interproximal reduction,9999
[1731] core   post,433
gold onlay,408
gold cap,419
ortho stage 1,1000
examand sp for a new pt,101
[2743] partial denture - chrome cobalt,711
surface mod - porcelain fillings - sound,399
vmk crown - sound,416
seal,9999
mobility class i.,1122
review following periodontal therapy,214
diagnodent readings,9999
porcelain veneer - sound,438
mobility class iii.,1122
surface o - carious - carious(established),9976
ortho treatment plan,1014
changed - unerupted,9993
[1461] glass ionomer cement for exceptional condition - do,403
belleglass onlay,410
overerupted,9949
invisalign retainers,1005
mobility class ii.,1122
surface mod - gold fillings - sound,399
[1803] bridge - retainer,923
decayed,9989
hemi section,9999
pin or screw retention,434
[4405] mouthguard,1107
invisalign fitting,1015
carious - no treatment,9976
mouthguard - striped,1107
cfast upper and lower together,1029
whitening gel only,9999
impression maryland splint,1128
removal of # part of tooth,9986
ortho assessment,1000
sleepwell appliance,1106
examination & treatment plan,100
lab fee: upper acrylic denture,9999
part periodontal treatment,201
medical history - updated,9999
porcelain bonded bridge,920
nti occlusal splint,1126
new patient exam magazine offer,102
invisalign assessment,1012
snoring/ apnoea consultation,9999
addition of soldered metal clasp,724
immediate upper acrylic denture,707
full (special) acrylic denture fit,703
full chrome standard denture fit,703
exam + scale & polish,101
new patient examination 0-5 yrs,118
restoration- children 2,9986
new patient examination 6-17 yrs,124
nightguard hard,1106
supplying whitening agent only,9999
3241 arep,1032
3671 recpp ur3,9986
2734 +bar ur1,9986
3231 supv,9999
1744 remfp ul2,445
cfast upper and lower arches together,1029
clinical comment,9999
perio chart & assessment,214
composite inlay fit- direct,410
x-ray pa 1,105
appt note,9990
root canal treatment complex,500
root canal filling removal,9986
diagnostic wax up,116
other examination,100
5821 comp ur3,401
promo np exam 3/2 to 30/4/2020,102
new patient offer 3/2 to 31/4/20,102
child examination 15,124
failed appointment 30 mins,9972
gi-repair,403
medium amalgam,400
linings,717
acetate clasp,724
addition of acetate clasps,724
5601 aug,111
child examination 20,124
small amalgam,400
invisalign clin-check,1005
fissure seal one tooth,301
full scale & polish,200
invis record taking clin-check,1005
mouthguard - special,1107
medical history update,9999
pbdgn  ur3,9986
3/4 gold crown fit,419
spec. partial acrylic denture fit,703
1813 pmp ll4,433
3502 dom ur1,1132
5206 +vist ur1,9999
2745 psk/ ur1,726
restoration- children 1,9986
radiograph report,9999
medium composite filling,401
consultation other,9999
britesmile deposit pre- whitening,9999
replacement whitening tray fit,1115
root face cover,9977
mouthguard (striped) - fit,1107
(std) partial acrylic denture,707
sedation by inhalation (occ),9999
laboratory,9999
hygiene notes - oral hygiene poor,9990
0212 stmo ur1,110
2221 surg,9999
1822 bppm ur2,904
3281 newap ur1,1032
3203 sfa,1032
3661 refrc lr3,445
2741 fm/-,726
extended consultation,100
lava crown fit,427
exam/ review,100
routine exam child,124
long-term core,433
britesmile deposit pre- assessment,9999
extensive recall exam,100
extraction- perio/mobile,600
veneer recement,436
bite wings 2,105
gi-other,403
full mouth bleaching,9999
dressing,207
hygiene notes - oral hygiene fair,9990
soft lining,718
routine examination,100
p000 exam,100
hygienist standard visit,200
standard scaling [dentist] treatment,228
light scale or stain removal,200
bitewing radiograph,105
records,9999
clinical note,9990
cavity - no treatment,9997
additional periapical radiograph(s),106
ant. std. composite restoration,401
light scale and polish with stain remova,200
repair composite restoration,401
c/o cust scr,9999
preparation & impression for crown,414
consultation with treatment,100
initial periapical radiograph,106
std amalgam restoration,400
porcelain bonded to pma crown fit,427
fissure sealant (nhs),301
routine examination only,100
root canal treatment - existing,500
temporary dressing-standard,207
new patient examination,102
post. std. composite restoration,401
tooth reshaping/ smoothing,1116
periapical radiograph: n/c,106
la administered & related area,9999
bitewing radiograph: n/c,105
composite [c3] restoration (medium),401
molar extraction,600
lg. ant/ sml. postcomposite restoration,401
sensitive cementum/dentist treatment,9999
large amalgam restoration,400
bonded bridge abutment,9950
extraction of mobile tooth,600
emergency endodontic treatment,126
6 month review,103
full ex cust scr,9999
advice screen,9999
routine bw,105
composite [c1] restoration,401
recement jacket crown,422
non-molar normal extraction,600
repair amalgam restoration,400
root filling- final visit,9977
scaling or polish- no charge,200
bonded bridge pontic,902
denture try-in visit,703
light scale & polish,200
fissure sealant with dentist,301
denplan care lab fee,9999
consultation only,9999
composite restoration (no charge),401
recement post & crown,422
2121 +vist ur1,9999
localised cleaning,9999
small radiograph,105
composite filling - front teeth only,401
impression for dent. alteration,701
r.a. sedation,9999
tooth addition to denture fit,712
imps & bite registration,1128
root extraction,9986
refix temporary restoration,9986
porcelain bonded pma bridge fit,926
preformed post fit,433
root filling-preparation & dressing,9977
partial acrylic denture fit,703
fta/ late canc. hygienist,9972
sensitive cementum (nhs),1104
emergency - unregistered,126
missed appt/ late canc fee,9972
be white whitening treatment,1113
rcf:  non vital 2nd visit,500
imps visit,1128
impression-tooth whitening,1128
recement conventional bridge,913
post* std. composite restoration,401
glass ionomer small,403
under review,103
composite splint,1126
bite registration,599
amalgam [a1] restoration,400
root planing by dentist/ visit,201
denture retry,703
advanced porcelain crown fit,427
temporary [short-term] crown fit,427
*see text sheet ***,9999
general item,9999
root filling- one visit treatment,9977
treatment notes,9990
temporary bridge fit surgery made,926
part provision of perio.treatment,201
glass ionomer medium,403
dentist scaling -extended+ohi,228
bonded/pinned,9986
immediate/ temporary acrylic denture,707
non specified treatment,9999
chrome standard denture fit,703
special porcelain crown fit,427
appointment note,9999
temp. dsg. -large or longer term,207
issue prescription,1103
photograph taken,109
full acrylic denture fit,703
nightguard soft,1106
impression-other appliance,1128
investigation restoration,9999
prep and imp.-inlay or veneer,407
missed appointment up to 20 min,9972
hygienist visit : extended,231
composite [c4] restoration(large),401
repair amalgam,400
cast post fit,433
maryland bridge pontic,910
temporary [longer-term] crown fit,427
reception sent repair to lab,9999
0211 stmo ur1,110
tooth reshaping,9986
annual or extensive examination,100
sensitive cementum treatment / dentist,1104
recement adhesive bridge,913
hard acrylic reline fit,716
0111 exme,100
lava crown,415
recement veneer/ adhesive inlay,436
reception repair collection (lab only),9999
repair fit : imps taken earlier,703
RECORD CJN,9999
cjn exam,100
amalgam [a4] restoration (large),400
porc. bonded to yellow gold crown fit,427
adhesive amalgam bonding or pinning,400
laboratory fee: acrylic denture,9999
tp notes,9990
0121 fexm,9999
stain removal,9999
2771 sptr/,9999
fluoride application,300
maryland bridge wing,911
rct first visit,500
missed appt up to 40 mins,9972
study models: one set - u&l,110
repair fit only : no imps required,703
retrograde root filling,9977
britesmile whitening,9999
2571 sra ur1,9999
sensitive cement- hyg,1104
antibiotic cover taken,1102
ohi,231
fit visit,703
britesmile information,9999
bonding or pinning,446
molar or large posterior composite,401
composite (c4) restoration,401
root canal treatment vital,500
failed appointment,9972
amalgam restoration 30 mins,400
impressions for models,1128
large amalgam,400
recement gold inlay,411
tooth whitening first arch,1113
hygienist prescription,1103
temporary bridge prep & imps,900
child examination 10,124
advanced porcelain bridge fit,926
britesmile consultation,9999
supply whitening agent only/ per tube,9999
try in visit,703
periodontal diagnosis screen,9999
bite visit,599
upper/lower partial denture,707
2 incisal angles,401
laboratory fee: chrome partial,9999
hygienist 3/12 essentials,231
zoom consultation,9999
whitening [replacement] tray fit,1115
partial [cosmetic] acrylic denture fit,707
tooth whitening second arch,1113
sedation by inhalation handicap,9999
3201 ura ur1,1035
new pt info,9999
refix,9999
radiographic examination,100
composite inlay fit- indirect,451
adhesive bridge fit,926
broken denture,9986
duplicate study models: 2 sets,110
hygienist visit : advanced,231
5501 rep/ ur1,715
child (under 12 yrs) mouthguard-clear,1107
removal of fractured tooth fragment,9986
maryland splint,1126
temporary bridge fit laboratory made,926
cosmetic whitening both arches,1113
exceptional glass ionomer filling,403
bridge ( per unit),920
denplan assessment examination,100
advanced periodontal treatment,221
review appointments,103
rotation,9986
movement,9986
denture soft reline fit,716
procera crown fit,427
removal of previous root filling,9986
addition of wrought metal clasp,724
extended examination,100
full dentures,726
cosmetic whitening one arch,1113
3242 mrep ur1,1032
3501 dom ur1,1132
1743 tempc ur1,421
deciduous tooth filling on referral,399
4901 pa ur1,105
small white composite filling,401
extensive perio,221
3245 +imp ur1,1014
wrought metal clasps,724
chrome cosmetic denture fit,703
interim scaling with dentist,228
2922 splt ur1,1126
cfast upper or lower arch promotional offer,1028
missed appointment up to 60 mins,9972
backings- chrome cobalt,9999
relative analgaesia,9999
domiciliary visit < 10 miles (occ),1132
pain visit,104
radiographic check,105
orthodontic examination,1000
5823 ae ul1,9986
3211 btpl ur1,599
1871 repb,916
1803 br ur3,419
1101 ging ur2,9999
2746 +bck ur1,9986
3512 reopn ur1,9999
0131 rept,9999
1511 pulp ul1,506
hygienist followed by exam,9999
ga for extracting 1-4 teeth (occ),9999
crown bonded - metal,418
crown bonded - gold,419
sedation,9999
nhs favourites,9999
treatment/ advice at examination,100
exam followed by hygiene - 15mins,101
lava bridge unit,920
examination other,100
ongoing note,9990
hygienist info,9990
replacement of aligner,1005
promtional whitening,1113
full chrome special denture fit,703
fissure seal four teeth,301
large composite filling,401
abscess,9999
re-implant of luxated perm.tooth (occ),9986
sedation for fees up to 10.00,9999
dovetail  joint,9999
brite smile pen set 3,9999
exam tsunami disaster relief fund,9999
repair of fixed appl with brackets (occ),1032
acupuncture,9999
medical history,9999
den. essentials-interim hyg visit,231
repair to fixed appl (2+ brackets),1032
5711 reopn ur1,9999
1191 ops,221
3282 0 ur1,1032
5563 addt ur1,712
5841 rf ll3,500
recement,422
recement of inlay,411
crown fit,427
curretage,9999
gold jacket crown,419
crown lengthening,208
full or jacket crown non-precious metal,420
crown (any other type),415
porcelain jacket crown[1716 - crown porcelain jacket],416
porcelain jacket crown,416
full or 3/4 crown precious metal,419
jacket crown synthetic resin,415
crown prep,414
ct scan,108
bonded crown (preparation),414
cosmetic bonded crown (fit),427
consult with mockups made up,9999
d [ur1],726
denture related services,9990
primary impression(s),700
primary denture impression(s),700
secondary denture impression(s),701
denture bite visit,702
denture try-in,703
metal try-in,703
acrylic denture fit,703
addition to acrylic denture,712
full acrylic denture upper or lower,726
full / full acrylic denture fit,703
partial acrylic denture,707
flexi denture,721
db [ll7],399
dbc [ul3],399
dbcusp [ur2],399
dbl [ll3],399
dblc [ul1],399
chrome denture fit,703
dc [ul1],399
addition to chrome denture,713
clasp,724
full denture not fitted,726
chrome cobalt denture,726
chrome cobalt palate,710
denture ease,725
decay,9989
denture bite record and 2nd imps,701
addition to denture (imps),701
addition to denture (fit),703
full lower denture (initial imps),700
full upper denture (bite and imps),700
full upper denture (try in),703
full upper denture (fit),703
full acrylic dentures (initial imps),700
full acrylic dentures (bite and imps),700
full acrylic dentures (try in),703
full acrylic dentures (fit),703
chrome denture (bite/imps),700
chrome denture tryin,703
partial chrome denture (initial imps),700
partial acrylic denture(initial imps),700
